Kim,Bloem
31.47142857,28.52857143
30.98571429,28.58571429
33.25714286,30.05714286
32.37142857,30.05714286
29.91428571,26.01428571
32.95714286,30.51428571
31.55714286,28.44285714
34.05714286,30.58571429
32.68571429,29.95714286
33.22857143,31.34285714
32.5,30.83333333
30.68571429,30.08571429
33.9,33.1
29.47142857,28.2
34.85714286,34.11428571
36.51428571,35.62857143
34.85714286,32.28571429
34.08571429,32.68571429
28.21428571,26.52857143
30.7,28.88571429
25.58571429,22.28571429
27.7,26.21428571
30.77142857,29.04285714
26.3,25.01666667
33.47142857,31.65714286
34.62857143,33.5
29.9,26.7
33.97142857,31.95714286
31.62857143,30.62857143
31.92857143,30.55714286
31.1,29.64285714
30.68571429,28.41428571
30.17142857,28.38571429
29.88571429,27.04285714
28.75714286,25.81428571
28.77142857,26.2
32.28333333,29.83333333
30.5,29.77142857
30.85714286,30.6
34.35714286,33.08571429
33.15714286,31.74285714
35.17142857,33.84285714
34.34285714,33.25714286
34.12857143,33.64285714
33.17142857,31.78571429
33.21428571,32.52857143
33.27142857,31.71428571
33.85714286,32.67142857
28.57142857,28.54285714
33.34285714,32.64285714
28.84285714,24.72857143
32,28.04285714
36.57142857,34.12857143
32.52857143,31.02857143
34.11428571,33.2
34.38571429,33
35.04285714,34.21428571
35.34285714,34.52857143
33.84285714,32.9
35.65714286,34.68571429
33.2,31.24285714
33.3,31.24285714
29.66666667,28.81666667
33.41428571,31.51428571
32.81428571,31.15714286
33.82857143,32.5
33.81428571,30.9
35.85714286,33.85714286
36.27142857,33.82857143
31.92857143,30.85714286
33.98571429,31.72857143
34.17142857,30.25714286
29,26.28571429
34.97142857,31.91428571
32.8,30.64285714
35.3,33.73333333
27.35714286,24.95714286
31.32857143,28.6
31.88571429,29.65714286
30.94285714,28.87142857
32.41428571,31.18571429
30.44285714,28.61428571
31.67142857,29.35714286
29.58571429,26.31428571
32.41428571,30.67142857
29.94285714,26
30.22857143,28.28571429
30.1,26.17142857
31.46666667,28.96666667
27.61428571,26.44285714
31.15714286,29.84285714
30.35714286,29.37142857
34,32.02857143
33.72857143,31.75714286
29.02857143,29.21428571
27.97142857,26.52857143
28.32857143,26.25714286
34.34285714,31.54285714
30.07142857,28.77142857
34.72857143,32.9
25.91428571,24.42857143
25.44285714,22.34285714
36.65714286,35.27142857
34.77142857,34.02857143
33.24285714,32.12857143
33.94285714,32.7
34.17142857,33.24285714
32.58571429,32.68571429
35.72857143,34.51428571
36.44285714,35.92857143
33.05714286,31.52857143
30.85714286,28.52857143
33.41428571,31.94285714
26.04285714,25.17142857
30.15,27.9
26.92857143,25.55714286
29.9,28.54285714
31.38571429,29.18571429
29.7,27.75714286
33.27142857,30.92857143
31.18571429,28.6
29.02857143,28.61428571
27.82857143,26.81428571
24.9,23.31428571
28.8,26.91428571
29.8,27.57142857
27.52857143,25.42857143
27.36666667,25.11666667
31.88571429,29.07142857
32.18571429,29.65714286
30.85714286,28.61428571
31.74285714,29.41428571
32.25714286,30.17142857
34.15714286,33.48571429
33.82857143,32.47142857
29.31428571,27.04285714
29.98571429,26.67142857
31.98571429,29.31428571
30.18571429,26.52857143
26.24285714,24.8
28.05,25.85
28.1,26.15714286
29.58571429,28.77142857
23.78571429,22.15714286
29.48571429,26.27142857
30.07142857,27.75714286
28.48571429,27.1
24.68571429,23.24285714
30.02857143,28.32857143
26.45714286,24.85714286
28.97142857,25.91428571
26.61428571,24.44285714
30.64285714,28.75714286
26.87142857,25.85714286
30.88571429,28.4
34.12857143,30.52857143
30.2,27.84285714
32.98571429,29.97142857
30.92857143,28.8
33.91428571,30.94285714
35.07142857,32.41428571
34.04285714,31.91428571
27.6,26.2
30.31428571,29.15714286
29.95714286,28.02857143
29.65714286,28.02857143
30,27.61666667
29.85714286,28.78571429
34.15714286,32.62857143
34.28571429,32.47142857
33.37142857,30.92857143
31.67142857,28.88571429
33.58571429,31.07142857
33.48571429,31.77142857
30.22857143,28.37142857
32.74285714,30.81428571
33.37142857,32.11428571
30.91428571,29.32857143
30.8,27.55714286
31.16666667,28.4
33.74285714,31.37142857
31.14285714,29.22857143
31.61428571,28.65714286
32.14285714,29.97142857
33.38571429,30.58571429
33.67142857,30.44285714
33.92857143,30.52857143
29.28571429,27.01428571
30.14285714,28.17142857
35.14285714,32.58571429
31.91428571,29.84285714
29.92857143,27.78571429
30.25,28.26666667
32.34285714,29.97142857
33.71428571,31.01428571
36.42857143,33.1
32.94285714,28.55714286
36.4,33.58571429
32.47142857,29.97142857
36.55714286,33.95714286
30.71428571,28.2
34.21428571,31.57142857
32.81428571,28.98571429
33.71428571,31.55714286
32.52857143,30.18571429
28.27142857,28.27142857
28.21428571,26.35714286
30.98571429,28.77142857
33.15714286,30.4
34.07142857,32.37142857
34.92857143,33
34.28571429,31.75714286
33.95714286,30.58571429
32.12857143,28.28571429
30.4,27.54285714
30.65714286,27.22857143
31.02857143,27.38571429
28.64285714,26.54285714
29.3,27.3
29.5,27.95714286
28.41428571,27.21428571
30.11428571,28.5
29.21428571,27.62857143
33.34285714,31.17142857
34.9,32.81428571
33.5,31.8
34.17142857,31.88571429
35.27142857,31.44285714
34.77142857,31.38571429
33.74285714,30.57142857
31.27142857,28.92857143
31.2,29.2
29.84285714,28.91428571
30.81428571,29.21428571
35.71428571,33.75714286
33.62857143,32.17142857
36.81428571,34.8
37.75714286,35.47142857
33.6,31.22857143
36.37142857,34.37142857
35.37142857,33.24285714
33.32857143,31.4
31.51428571,28.8
36.35714286,33.64285714
35.06666667,32.58333333
30.41428571,28.61428571
34.32857143,32.34285714
32.14285714,31.31428571
31.64285714,30.52857143
30.94285714,31.72857143
34.11428571,32.64285714
33.97142857,29.24285714
36.68571429,31.12857143
35.75714286,30.94285714
33.3,31.22857143
35.48571429,33.77142857
35.55714286,33.62857143
33.44285714,32.24285714
27.4,26.05714286
32.51428571,31.05714286
33.42857143,31.95714286
31.82857143,30.48571429
36.45714286,35.18571429
34.42857143,32.64285714
30.92857143,29.24285714
33.2,31.12857143
32.1,30.71428571
32.58571429,31.82857143
29.9,27.68571429
30.52857143,27.58571429
29.45,28.23333333
27.18571429,26.54285714
32.12857143,31.24285714
28.34285714,27.65714286
30.14285714,29.68571429
32.72857143,31.71428571
34.35714286,33.31428571
35.71428571,33.98571429
30.71428571,28.64285714
31.1,30.15714286
29.45714286,30.02857143
31.94285714,31.88571429
31.84285714,30.91428571
28.36666667,28.1
34.41428571,31.67142857
34.1,30.44285714
35.57142857,32.9
36.05714286,34.44285714
33.45714286,31.44285714
34.58571429,33.51428571
35.07142857,32.94285714
33,32.55714286
36.91428571,35.32857143
34.94285714,33.95714286
28.21428571,27.74285714
34.41428571,31.85714286
31.35,28.86666667
32.11428571,31.02857143
32.97142857,31.84285714
34.6,32.71428571
31.18571429,30.47142857
37.95714286,36.1
36.91428571,34.87142857
33.21428571,30.65714286
33.85714286,31.12857143
36.18571429,34.1
36.32857143,34.01428571
27.31428571,27.81428571
23.47142857,22.75714286
26.74285714,25.87142857
27.85714286,26.41428571
28.85714286,25.28571429
32.04285714,29.82857143
32.54285714,29.47142857
26.85714286,26.24285714
27.44285714,26.4
30.77142857,28.35714286
31.88571429,30.37142857
32.72857143,30.31428571
25.95714286,23.12857143
25.51428571,23.64285714
28.34285714,25.45714286
30.4,27.43333333
33.41428571,31.55714286
31.44285714,29.58571429
32.31428571,30.64285714
36.37142857,33.77142857
35.11428571,32.3
31.92857143,30.11428571
33.64285714,31.38571429
34.62857143,31.68571429
33.9,31.84285714
31.71428571,29.1
29.15714286,26.38571429
30.18571429,29.02857143
30.5,29.16666667
26.42857143,25.68571429
32.7,31.54285714
31.52857143,30.21428571
35.15714286,33.9
35.12857143,34.18571429
29.22857143,28.75714286
34.7,32.8
29.54285714,28.11428571
27.45714286,25.7
29.12857143,28.37142857
30.72857143,29.07142857
28.85714286,26.44285714
34.28333333,32.4
30.45714286,28.67142857
31.91428571,28.18571429
29.94285714,28.34285714
33.02857143,31.42857143
33.41428571,30.9
35.41428571,33.12857143
35.34285714,33.74285714
34.82857143,33.48571429
37.2,34.81428571
36.51428571,35.34285714
35.35714286,34.4
33.62857143,31.38571429
31.98571429,31.64285714
34.41428571,34.37142857
32.68571429,31.62857143
34.7,34.37142857
33.92857143,33.05714286
34.78571429,34.31428571
35.42857143,34.85714286
35.28571429,35.01428571
33.4,33.27142857
28.04285714,28.22857143
31.04285714,31.12857143
24.04285714,24.07142857
27.48571429,28.15714286
29.53333333,28.45
33.14285714,31.17142857
34.44285714,32.65714286
32.27142857,30.48571429
31.08571429,30.98571429
29.87142857,28.85714286
30.28571429,29.7
29.41428571,28.8
28.6,27.08571429
30.24285714,29.04285714
26.24285714,24.08571429
27.58571429,24.91428571
28.11428571,25.92857143
32.96666667,28.8
32.72857143,31.87142857
32.72857143,29.8
37.8,35.51428571
31.88571429,31.74285714
36.35714286,34.92857143
36.4,34.27142857
30.87142857,28.24285714
33.98571429,31.64285714
35.35714286,33.2
36.52857143,33.65714286
36.77142857,34.24285714
34.84285714,32.2
35.01666667,32.48333333
27.02857143,24.47142857
28.24285714,27.4
27.34285714,25.71428571
28.58571429,26.95714286
35.71428571,32.27142857
34.28571429,32.44285714
34.01428571,31.32857143
28.82857143,27.14285714
31.08571429,27.3
33.42857143,30.14285714
31.08571429,27.28571429
27.98571429,25.77142857
27.2,24.57142857
28.95714286,28.55714286
32.22857143,30.85714286
30.8,29.1
31.84285714,29.2
28.64285714,27.1
29.92857143,28.78571429
29.7,29.24285714
31.62857143,29.5
30.41428571,28.58571429
33.97142857,31.28571429
30.27142857,29.25714286
35.92857143,34.24285714
31.56666667,30.7
33.77142857,32.62857143
38.64285714,37.15714286
33.24285714,31.85714286
33.24285714,32.32857143
29.28571429,28.25714286
27.15714286,26.35714286
32.87142857,30.01428571
33.47142857,30.98571429
34.57142857,31.08571429
35.52857143,33.42857143
32.15714286,30.92857143
25.92857143,24.17142857
30.78333333,28.88333333
28.84285714,26.6
34.64285714,31.57142857
33.64285714,30.07142857
34.94285714,31.78571429
34.17142857,31.42857143
32.42857143,30.87142857
34.35714286,32.61428571
35.67142857,32.64285714
33.55714286,30.71428571
34.5,31.91428571
35.55714286,33
33.92857143,31.54
36.46666667,34.5
30.58571429,28.4
30.42857143,27.45714286
29.17142857,26.87142857
25.95714286,25.48571429
28.94285714,28.81428571
30.01428571,28.2
24.5,22.52857143
28.8,28.24285714
28.62857143,27.67142857
34,31.9
32.72857143,29.11428571
30.24285714,27.98571429
29.68571429,27.91428571
33.21428571,31.42857143
28.3,26.52857143
32.68571429,30.72857143
34.27142857,31.07142857
30.64285714,28.68571429
37.82857143,35.38571429
32.47142857,31.2
35.28571429,33.81428571
32.94285714,32.12857143
34.81428571,32.91428571
32.2,30.44285714
33.07142857,29.2
31.75,27.85
29.15714286,26.1
29.41428571,26.38571429
32.32857143,29.25714286
29.78571429,27.42857143
33.81428571,31.58571429
31.52857143,30.25714286
30.74285714,28.65714286
34.56666667,31.54285714
27.07142857,25.82857143
34.54285714,30.48571429
34.15714286,29.75714286
30.41428571,28.31428571
32.53333333,31.51666667
29.97142857,27.6
30.62857143,27.97142857
33.65714286,31.01428571
32.02857143,31.24285714
35.02857143,33.98571429
29.94285714,27.71428571
35.57142857,34.27142857
34.02857143,33.4
36.3,35.38571429
33.38571429,31.2
32.42857143,29.7
32.28571429,28.92857143
33.3,32.06666667
31.58571429,31.54285714
31.05714286,31.68333333
35.25,35.24285714
31.35714286,30.01666667
36.24285714,33.05714286
29.92857143,31.32857143
28.74285714,30
29.94285714,26.74285714
32.44285714,33.34285714
33.31428571,31.9
30.62857143,29.2
28.74285714,28.17142857
29.68571429,28.44285714
32.58571429,29.22857143
33.47142857,30.71428571
33.22857143,31.34285714
32.32857143,30.42857143
36.67142857,34.34285714
35.58571429,33.15714286
28.08333333,25.74285714
30.57142857,28.67142857
33.15714286,31.01428571
35.3,32.61428571
35.68571429,32.24285714
27.76666667,24.24285714
31.51666667,29.83333333
32.25714286,29.8
31.88571429,29.5
33.37142857,30.87142857
35.3,32.88571429
30.41428571,28.47142857
31.57142857,27.41428571
34.84285714,30.52857143
31.32857143,27.38571429
32.25714286,27.55714286
27.17142857,24.41428571
28.7,26.15714286
31.01428571,27.74285714
25.53333333,24.05
34,30.47142857
34.21428571,30.6
37,32.84285714
34,30.33333333
32.17142857,28.2
34.47142857,31.21428571
36.4,32.82857143
34.08571429,31.15714286
33.2,29.04285714
35.72857143,32.28571429
30.28571429,28.72857143
36.2,33.85714286
35.98333333,33.41666667
29.6,27.01428571
31.64285714,28.94285714
30.38571429,29.08571429
29.7,28.14285714
33.91428571,31.7
29.9,28.24285714
29.87142857,29.74285714
29.65714286,27.22857143
34.32857143,31.95714286
33.05714286,33.04285714
29.97142857,27.71666667
32.75714286,31.11428571
31.98571429,29.34285714
33.6,30.04285714
34.74285714,32.35714286
34.55714286,32.82857143
34.87142857,32.61428571
33.5,31.14285714
34.48571429,33.35714286
33.82857143,32.35714286
33.6,32.04285714
30.54285714,25.67142857
32.61428571,29.58571429
26.27142857,24.1
29.27142857,27.11428571
28.28333333,26.8
34.37142857,32.45714286
33.87142857,29.72857143
36.38571429,32.7
36.47142857,33.2
30.88571429,30.42857143
30.82857143,29.12857143
33.77142857,31.17142857
27.7,25.51428571
30.27142857,27.88571429
32.87142857,30.74285714
34.75714286,31.61428571
30.8,28.94285714
28.11666667,26.21666667
31.42857143,28.87142857
32.35714286,29.78571429
29.92857143,26.77142857
32.86666667,31.07142857
23.26,25.24285714
28.22857143,27.74285714
30.92857143,28.57142857
28.74285714,25.48571429
31.45714286,29.02857143
28.17142857,26.91428571
32.21428571,30.11428571
30.05714286,27.47142857
31.63333333,28.3
30.82857143,29.52857143
29.62857143,26.77142857
33.71428571,31.54285714
31.04285714,28.8
34.98571429,33.11428571
37.42857143,34.42857143
33.92857143,32.35714286
30.91428571,30.12857143
34.87142857,32.87142857
30.22857143,29.12857143
30.15714286,28
30.6,28.67142857
32.58571429,30.64285714
27.45714286,25.05714286
28.94285714,27.12857143
30.91428571,28.78571429
31.65714286,28.74285714
34.87142857,31.25714286
35.84285714,32.97142857
35.32857143,32.3
34.5,32.7
35.14285714,32.57142857
34.97142857,32.75714286
34.3,31.71428571
32.12857143,31.21428571
35.43333333,33.98333333
29.97142857,28.84285714
28.55714286,26.6
32.18571429,31.15714286
30.91428571,29.18571429
34.65714286,32
32.12857143,31.1
36.41428571,35.28571429
35.41428571,33.52857143
29.84285714,29.08571429
28.14285714,26.12857143
33.74285714,31.8
31.54285714,29.5
30.11666667,28.01666667
36.48571429,30.82857143
34.67142857,29.7
33.05714286,29.52857143
34.77142857,32.08571429
35.11428571,32.51428571
36.08571429,34.47142857
32.45714286,31.08571429
36.07142857,34.14285714
31.57142857,30.58571429
32.7,31.5
35.15714286,33.42857143
32.45714286,31.7
30.85,29.63333333
37.42857143,35.92857143
34.42857143,33.8
36.93333333,35.8
37.27142857,36.12857143
36,34.51428571
38.95714286,37.6
29.37142857,29.57142857
26.2,26.57142857
35.92857143,33.61428571
35.94285714,33.11428571
38.04285714,35.28571429
32.45714286,31.28571429
31.32857143,32.1
37.34285714,34.78571429
33.88571429,32.12
38.52857143,35.32857143
33.58571429,31.88571429
31.01428571,30.24285714
27.25714286,26.51428571
31.07142857,27.87142857
33.82857143,30.62857143
33.32857143,31.38571429
31.58571429,26.77142857
34.15714286,28.34285714
28.68571429,25.02857143
29.73333333,27.03333333
32.68571429,30.04285714
32.37142857,30.92857143
33.3,31.8
33.9,31.61428571
34.81428571,32.15714286
36.15714286,33.84285714
37.72857143,35.17142857
32.1,31.27142857
32.1,29.61428571
34.42857143,32.01428571
30.1,28.68333333
30.83333333,28.12
35.67142857,32.7
34.51428571,32.31428571
37.37142857,34.35714286
39.12857143,37.17142857
34.34285714,31.1
37.15714286,32.18571429
38.84285714,36.37142857
36.81428571,34.92857143
34.38571429,31.14285714
33.17142857,31.37142857
29.75714286,27.25714286
34.14285714,30.61428571
33.95,31.05
28.98571429,27.21428571
32.11428571,28.4
34.24285714,31.52857143
33.68571429,29.75714286
34.9,31.82857143
30.87142857,28.45714286
34.65714286,31.04285714
34.07142857,29.64285714
35.78571429,32.07142857
34.02857143,31.5
32.37142857,30.02857143
29.54285714,28.57142857
28.2,26.64285714
33.17142857,29.58571429
33.15,29.28571429
35.58571429,31.9
31.1,30.67142857
26.7,26.67142857
28.81428571,28.01428571
29.14285714,28.14285714
32.98571429,32.25714286
27.92857143,28.37142857
29.28571429,27.1
33.41428571,31.77142857
32.88571429,30.21428571
29.6,28.18333333
29.72857143,27.44285714
32.14285714,28.82857143
28.97142857,25.3
27.84285714,25.82857143
31.75714286,29.94285714
30.61428571,29.02857143
30.07142857,28.48571429
31.24285714,30.37142857
31.07142857,28.97142857
29.98571429,28.72
33.42857143,30.2
31.75714286,28.95714286
34.6,31.8
